,News Account,Date and Time Created (UTC),Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Counter
0,@BBCWorld,Thu Mar 29 08:27:29 +0000 2018,0.0,0.0,0.0,1.0,1
1,@BBCWorld,Thu Mar 29 08:20:39 +0000 2018,-0.3182,0.0,0.223,0.777,2
2,@BBCWorld,Thu Mar 29 08:17:00 +0000 2018,0.0,0.0,0.0,1.0,3
3,@BBCWorld,Thu Mar 29 07:55:09 +0000 2018,0.1779,0.11,0.084,0.806,4
4,@BBCWorld,Thu Mar 29 07:51:49 +0000 2018,0.0,0.0,0.0,1.0,5
5,@BBCWorld,Thu Mar 29 06:20:07 +0000 2018,0.168,0.06,0.0,0.94,6
6,@BBCWorld,Thu Mar 29 03:07:47 +0000 2018,0.6662,0.223,0.0,0.777,7
7,@BBCWorld,Thu Mar 29 02:20:41 +0000 2018,-0.4939,0.0,0.412,0.588,8
8,@BBCWorld,Thu Mar 29 02:13:36 +0000 2018,-0.872,0.0,0.553,0.447,9
9,@BBCWorld,Thu Mar 29 01:32:53 +0000 2018,-0.4019,0.141,0.267,0.593,10
10,@BBCWorld,Thu Mar 29 01:03:17 +0000 2018,0.3612,0.217,0.0,0.783,11
11,@BBCWorld,Thu Mar 29 00:15:16 +0000 2018,0.0,0.0,0.0,1.0,12
12,@BBCWorld,Thu Mar 29 00:15:14 +0000 2018,0.3818,0.302,0.0,0.698,13
13,@BBCWorld,Thu Mar 29 00:03:00 +0000 2018,0.0,0.0,0.0,1.0,14
14,@BBCWorld,Wed Mar 28 23:48:28 +0000 2018,0.5106,0.268,0.0,0.732,15
15,@BBCWorld,Wed Mar 28 23:32:23 +0000 2018,0.8786,0.591,0.0,0.409,16
16,@BBCWorld,Wed Mar 28 22:56:04 +0000 2018,0.0,0.0,0.0,1.0,17
17,@BBCWorld,Wed Mar 28 22:33:26 +0000 2018,0.0,0.0,0.0,1.0,18
18,@BBCWorld,Wed Mar 28 22:11:17 +0000 2018,0.0,0.0,0.0,1.0,19
19,@BBCWorld,Wed Mar 28 21:33:05 +0000 2018,-0.6249,0.0,0.451,0.549,20
20,@BBCWorld,Thu Mar 29 08:27:29 +0000 2018,0.0,0.0,0.0,1.0,21
21,@BBCWorld,Thu Mar 29 08:20:39 +0000 2018,-0.3182,0.0,0.223,0.777,22
22,@BBCWorld,Thu Mar 29 08:17:00 +0000 2018,0.0,0.0,0.0,1.0,23
23,@BBCWorld,Thu Mar 29 07:55:09 +0000 2018,0.1779,0.11,0.084,0.806,24
24,@BBCWorld,Thu Mar 29 07:51:49 +0000 2018,0.0,0.0,0.0,1.0,25
25,@BBCWorld,Thu Mar 29 06:20:07 +0000 2018,0.168,0.06,0.0,0.94,26
26,@BBCWorld,Thu Mar 29 03:07:47 +0000 2018,0.6662,0.223,0.0,0.777,27
27,@BBCWorld,Thu Mar 29 02:20:41 +0000 2018,-0.4939,0.0,0.412,0.588,28
28,@BBCWorld,Thu Mar 29 02:13:36 +0000 2018,-0.872,0.0,0.553,0.447,29
29,@BBCWorld,Thu Mar 29 01:32:53 +0000 2018,-0.4019,0.141,0.267,0.593,30
30,@BBCWorld,Thu Mar 29 01:03:17 +0000 2018,0.3612,0.217,0.0,0.783,31
31,@BBCWorld,Thu Mar 29 00:15:16 +0000 2018,0.0,0.0,0.0,1.0,32
32,@BBCWorld,Thu Mar 29 00:15:14 +0000 2018,0.3818,0.302,0.0,0.698,33
33,@BBCWorld,Thu Mar 29 00:03:00 +0000 2018,0.0,0.0,0.0,1.0,34
34,@BBCWorld,Wed Mar 28 23:48:28 +0000 2018,0.5106,0.268,0.0,0.732,35
35,@BBCWorld,Wed Mar 28 23:32:23 +0000 2018,0.8786,0.591,0.0,0.409,36
36,@BBCWorld,Wed Mar 28 22:56:04 +0000 2018,0.0,0.0,0.0,1.0,37
37,@BBCWorld,Wed Mar 28 22:33:26 +0000 2018,0.0,0.0,0.0,1.0,38
38,@BBCWorld,Wed Mar 28 22:11:17 +0000 2018,0.0,0.0,0.0,1.0,39
39,@BBCWorld,Wed Mar 28 21:33:05 +0000 2018,-0.6249,0.0,0.451,0.549,40
40,@BBCWorld,Wed Mar 28 20:17:31 +0000 2018,-0.6908,0.0,0.402,0.598,41
41,@BBCWorld,Wed Mar 28 19:34:17 +0000 2018,-0.3818,0.0,0.245,0.755,42
42,@BBCWorld,Wed Mar 28 19:29:54 +0000 2018,-0.5859,0.0,0.153,0.847,43
43,@BBCWorld,Wed Mar 28 19:24:18 +0000 2018,0.3802,0.085,0.0,0.915,44
44,@BBCWorld,Wed Mar 28 19:09:43 +0000 2018,0.0,0.0,0.0,1.0,45
45,@BBCWorld,Wed Mar 28 17:34:13 +0000 2018,0.0,0.0,0.0,1.0,46
46,@BBCWorld,Wed Mar 28 17:34:06 +0000 2018,-0.3182,0.0,0.18,0.82,47
47,@BBCWorld,Wed Mar 28 17:13:44 +0000 2018,0.0,0.0,0.0,1.0,48
48,@BBCWorld,Wed Mar 28 17:09:09 +0000 2018,0.5719,0.311,0.142,0.548,49
49,@BBCWorld,Wed Mar 28 17:04:52 +0000 2018,-0.5423,0.0,0.28,0.72,50
50,@BBCWorld,Wed Mar 28 16:27:48 +0000 2018,0.3612,0.217,0.0,0.783,51
51,@BBCWorld,Wed Mar 28 16:02:21 +0000 2018,-0.4404,0.0,0.225,0.775,52
52,@BBCWorld,Wed Mar 28 15:57:53 +0000 2018,0.0,0.0,0.0,1.0,53
53,@BBCWorld,Wed Mar 28 15:37:10 +0000 2018,0.0,0.0,0.0,1.0,54
54,@BBCWorld,Wed Mar 28 15:31:26 +0000 2018,0.2235,0.09,0.0,0.91,55
55,@BBCWorld,Wed Mar 28 14:46:13 +0000 2018,-0.7096,0.0,0.457,0.543,56
56,@BBCWorld,Wed Mar 28 14:34:06 +0000 2018,-0.4767,0.0,0.279,0.721,57
